N,P,K,temperature,humidity,ph,rainfall,main_crop,interm_crop,inter_land_cover(%),land_sustainability(%)
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,blackgram,20,12
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,greengram,25,15
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,cowpea,30,18
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,blackgram,20,12
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,greengram,25,15
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,cowpea,30,18
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,blackgram,20,12
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,greengram,25,15
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,cowpea,30,18
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,blackgram,20,12
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,greengram,25,15
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,cowpea,30,18
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,blackgram,20,12
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,greengram,25,15
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,cowpea,30,18
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,blackgram,20,12
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,greengram,25,15
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,cowpea,30,18
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,blackgram,20,12
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,greengram,25,15
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,cowpea,30,18
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,rice,blackgram,20,12
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,rice,greengram,25,15
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,rice,cowpea,30,18
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,rice,blackgram,20,12
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,rice,greengram,25,15
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,rice,cowpea,30,18
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,blackgram,20,12
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,greengram,25,15
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,cowpea,30,18
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,blackgram,20,12
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,greengram,25,15
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,cowpea,30,18
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,blackgram,20,12
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,greengram,25,15
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,cowpea,30,18
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,blackgram,20,12
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,greengram,25,15
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,cowpea,30,18
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,blackgram,20,12
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,greengram,25,15
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,cowpea,30,18
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,blackgram,20,12
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,greengram,25,15
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,cowpea,30,18
60,48,39,24.28209415,80.30025587,7.042299068999999,231.0863347,rice,blackgram,20,12
60,48,39,24.28209415,80.30025587,7.042299068999999,231.0863347,rice,greengram,25,15
60,48,39,24.28209415,80.30025587,7.042299068999999,231.0863347,rice,cowpea,30,18
85,38,41,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,rice,blackgram,20,12
