crop,N,temperature,humidity,rainfall,Area(hectares),yield(t/ha)
watermelon,20.92,28.52,69.76,496.5,13.89,18.278617710583152
rice,138.21,24.86,32.24,104.92,2206.36,14.937045631719212
apple,111.89,10.17,83.0,139.42,3863.5,7.846851300634141
coconut,84.9,35.93,44.96,351.02,3229.07,12.850622625090194
watermelon,140.68,21.1,31.0,461.69,4770.1,16.097060858262928
banana,111.32,32.22,75.31,444.82,2596.46,16.555629587977478
mango,111.26,33.95,72.25,275.68,2561.6,13.326362429731418
coffee,90.54,11.08,60.26,310.23,478.97,10.376787690251998
jute,77.07,33.86,47.6,195.33,2586.34,10.229989096561162
cotton,102.73,38.33,86.37,474.75,3083.1,12.238636437352016
rice,125.66,21.23,54.09,493.99,433.34,16.904739927078047
watermelon,21.48,13.34,62.02,457.86,2126.87,16.242412559300757
banana,100.62,36.71,59.62,477.69,1412.01,11.296237278772812
coconut,31.49,34.49,92.92,188.5,4158.54,7.117692747935574
coconut,132.11,21.9,70.44,402.64,2574.81,16.7760766813862
jute,136.58,15.46,52.47,338.39,702.75,12.588402703664176
grapes,133.57,28.84,35.31,409.73,206.17,17.88805354804288
mango,73.11,35.52,78.49,98.01,3973.5,8.498890147225367
lentil,24.75,16.15,42.39,454.12,1057.43,13.907691289257915
coconut,23.52,31.48,72.83,120.27,136.68,10.045507755340942
coconut,93.55,33.39,37.43,488.55,1105.36,17.49458095100239
mango,52.46,30.77,85.2,346.45,4034.74,14.55010236099476
cotton,113.02,18.91,85.43,260.29,26.7,12.470786516853934
apple,127.98,35.13,44.99,230.71,334.28,11.718260141198996
grapes,48.12,34.02,70.94,421.79,4786.78,12.169138752982173
coconut,130.79,24.3,32.88,172.83,1961.94,14.50031091674567
mango,145.08,11.46,64.62,363.07,35.36,12.375848416289593
cotton,63.57,34.77,38.38,63.16,4360.5,9.66499484004128
coffee,81.3,31.45,66.58,440.66,1009.79,14.273759890670338
mango,47.35,10.55,61.35,306.91,522.93,11.527776184192914
watermelon,148.27,26.2,32.22,301.16,4322.44,16.262337938756815
apple,106.69,25.47,61.78,254.63,4340.91,17.29462485976443
jute,87.92,39.3,83.51,229.96,3591.0,8.91818156502367
orange,32.42,22.71,73.39,420.18,1381.28,18.51459515811421
cotton,23.07,16.5,36.22,438.26,3687.0,12.869335503119066
maize,106.04,30.08,94.62,199.85,1628.43,11.906369939143836
jute,49.07,10.69,40.0,195.14,4095.49,9.386630171237142
coconut,145.56,38.89,65.72,110.82,138.8,3.772622478386167
cotton,142.5,39.75,93.1,257.88,1944.1,11.835131937657527
maize,25.45,29.32,64.47,398.59,3078.91,18.435384600394297
apple,21.65,30.28,62.24,467.74,1376.22,18.023622676606937
muskmelon,95.4,29.27,34.22,266.44,2945.13,16.735050744788854
coconut,124.83,11.87,63.31,295.44,3258.36,10.236207785511729
apple,32.22,15.87,42.14,248.48,476.11,13.885929722123038
chickpea,126.98,12.79,31.91,359.09,657.83,13.145219889637138
apple,118.7,32.89,56.54,80.83,1808.29,10.477832648524297
orange,91.06,23.81,86.2,251.17,563.84,16.411694807037456
coconut,80.38,12.47,89.19,362.5,135.46,13.386756238003835
mango,53.07,29.02,34.61,277.82,3720.53,14.294232273358904
orange,45.49,19.94,61.33,487.19,1391.3,17.40771221160066
muskmelon,107.7,30.13,46.78,447.02,3652.0,15.7685295728368
cotton,98.49,17.73,33.87,73.01,3185.64,8.938018734069136
